hour,LSTM_pred,XGBoost_pred
08:15:00,"11.0, 11.0, 11.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0","11.852623,11.852623,11.795489,11.712701,10.680312,10.661693
,10.661693,,9.759994,,9.759994,,9.759994,,9.081888,,9.169378
,9.169378,,9.169378,,9.169378,,8.326929,,8.326929,,7.3996854
,6.8631215,7.064887,,7.4267187,7.4267187,7.4267187,7.0071015
,7.0071015,7.0071015,7.0071015,7.0071015,7.0071015,7.0071015"
08:30:00,"10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0","8.285048,7.7448483,7.4964733,7.2740407,7.236842,7.119429,7.119429
,7.119429,5.845026,5.775453,5.9182744,5.667028,5.667028,5.667028
,5.4372735,5.4372735,5.022668,4.7361975,3.7483985,3.7483985,3.353726
,2.9328399,2.3354402,2.3354402,2.0609417,1.9535685,1.9352134,1.64429
,1.5330384,1.219085,"
08:45:00,"9.0, 8.0, 8.0, 8.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0","8.381098,8.381098,8.381098,7.290343,7.290343,7.290343,6.935337
,6.527339,6.527339,6.0770283,6.0770283,5.034112,5.034112,5.034112
,3.4818053,3.4818053,3.4818053,3.4818053,3.4818053,3.4818053,3.4818053
,3.4818053,3.4818053,3.4818053,3.4818053,3.4818053,3.4818053,3.4818053
,3.4818053,4.193594,"
09:00:00,"6.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0","2.454524,2.454524,1.9874967,1.8437304,1.8437304,1.8437304,1.8437304
,1.6707163,1.6707163,1.6707163,1.6707163,1.6707163,1.6707163,1.6707163
,1.9880211,1.9880211,1.9880211,1.9880211,2.0585322,2.0585322,2.0585322
,2.0585322,2.0585322,2.0585322,2.0585322,2.0585322,2.1752825,3.0558248
,3.0558248,2.9590077"
09:15:00,"3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0","3.0584083,3.0584083,3.0584083,3.1170478,3.1170478,3.1170478,3.1170478
,3.1170478,3.1170478,3.0317838,2.692836,2.7257814,2.92635,,2.92635
,2.92635,,2.92635,,3.512363,4.488388,5.5592976,5.5592976,5.9180856
,8.131756,8.898586,8.898586,8.872642,8.872642,8.872642,8.872642
,8.872642,9.174308,"
09:30:00,"0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0",",0.8889168,0.8889168,1.6328939,2.0169687,2.0169687,2.1363811
,4.234673,,4.871262,,4.871262,,5.83445,,5.8115425,5.8115425
,5.8115425,5.8115425,7.2015085,7.7491417,10.495814,11.52269
,12.481435,13.28208,,14.610047,14.610047,14.610047,14.610047
,14.549255,14.318252,14.318252,14.318252,14.318252,12.156137,"
09:45:00,"-0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0","0.4922525,0.4922525,0.4922525,0.4922525,0.4922525,0.4922525
,0.4922525,0.4922525,0.4922525,0.4922525,0.4922525,0.4922525
,0.4922525,0.4922525,0.71019924,0.71019924,0.71019924,0.71019924
,0.71019924,0.74493486,0.74493486,0.74493486,0.74493486,0.64142543
,0.5723814,0.5723814,0.5723814,0.5723814,0.5723814,0.5723814,"
10:00:00,"0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0","0.5612378,0.5612378,0.5612378,0.5612378,0.5661336,0.5661336
,0.45632395,0.41678816,0.41678816,0.41678816,0.41678816,0.41678816
,0.41678816,0.41678816,0.41678816,0.41678816,0.41678816,0.41678816
,0.41678816,0.41678816,0.41678816,0.41678816,0.41678816,0.41678816
,0.41678816,0.41678816,0.41678816,0.41678816,0.41678816,0.41678816"
10:15:00,"9.0, 10.0, 10.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0","2.257022,,2.2269607,2.0867412,1.6743082,1.6743082,1.5667208
,1.5174396,1.5174396,1.5174396,1.4433546,1.4433546,1.4433546
,1.2881985,1.2881985,1.1446229,1.1027367,1.1027367,1.1027367
,0.83594567,0.83594567,0.83594567,0.83594567,0.83594567,0.83594567
,0.83594567,0.83594567,0.83594567,0.83594567,0.83594567,0.83594567"
10:30:00,"12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0","10.482245,10.482245,10.482245,10.482245,10.482245,10.482245
,10.037906,10.037906,10.037906,10.037906,,9.731824,,9.731824
,9.731824,,9.731824,,9.731824,,9.731824,,9.731824,,9.731824
,9.731824,,9.731824,,9.731824,,9.731824,,9.731824,,9.731824
,9.731824,,8.879022,,8.879022,,8.084665,,8.084665,,2.2126403"
10:45:00,"10.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0","10.655646,10.655646,10.655646,10.655646,10.655646,10.655646,10.655646
,10.655646,10.655646,10.655646,9.930793,9.930793,9.392787,9.392787
,8.647886,8.647886,8.647886,8.647886,8.647886,8.647886,8.647886
,8.647886,8.815647,8.815647,8.815647,8.815647,8.815647,8.815647
,8.815647,8.815647"
11:00:00,"11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0",",9.439846,9.439846,9.439846,9.519598,9.519598,9.519598,9.594027
,9.789431,9.789431,9.789431,9.789431,9.789431,9.789431,9.789431
,9.789431,9.789431,9.789431,9.789431,9.789431,9.789431,9.695354
,9.695354,9.695354,9.911939,9.911939,9.911939,9.968988,10.554048
,10.554048,10.554048"
11:15:00,"9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0",",9.840072,9.840072,9.840072,9.840072,9.840072,9.840072,9.840072
,9.840072,9.967927,9.967927,9.967927,9.967927,10.074314,10.074314
,10.074314,10.074314,10.074314,10.074314,10.074314,10.074314,10.074314
,10.074314,10.074314,10.074314,10.074314,10.074314,10.074314,10.074314
,10.074314,10.074314"
11:30:00,"9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0","9.075898,9.075898,9.126676,9.293359,9.293359,9.307877,9.307877
,9.307877,9.305173,9.24032,,9.24032,,9.24032,,9.24032,,9.165333
,9.165333,9.175907,9.175907,9.183377,9.183377,9.183377,9.183377
,9.183377,9.1683035,9.1683035,9.1150255,9.12917,,9.111013,8.756653
,8.756653,9.181228,"
11:45:00,"9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0","9.043025,9.043025,9.043025,9.043025,9.043025,9.043025,9.043025,9.043025
,9.043025,9.043025,9.043025,9.043025,9.043025,9.043025,8.848697,8.848697
,8.848697,8.848697,8.848697,8.848697,8.829396,8.829396,8.829396,8.829396
,8.829396,8.829396,8.829396,8.841693,8.841693,8.841693"
12:00:00,"8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0","8.492695,8.492695,8.492695,8.426184,8.378811,7.934799,7.8910503
,7.8910503,7.429146,7.581412,7.581412,7.7242107,7.7242107,7.7342153
,7.714546,7.714546,7.714546,7.714546,7.714546,7.714546,7.714546
,7.714546,7.714546,7.714546,7.714546,7.9320455,8.522009,8.439129
,8.439129,8.157114,"
12:15:00,"9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0","8.408366,8.408366,8.408366,8.408366,8.408366,8.408366,8.408366
,8.408366,8.408366,8.408366,8.408366,8.144644,7.4008136,7.4008136
,5.3797054,5.3797054,5.3797054,5.3423667,4.325468,4.325468,4.325468
,4.325468,4.0801697,3.1287527,1.7493161,1.7493161,1.7493161,1.7493161
,1.740729,1.740729,"
12:30:00,"7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0","7.3563924,6.3709526,6.2980576,5.527141,5.527141,5.527141,5.527141
,5.527141,5.527141,4.3381987,4.3381987,4.3381987,4.3381987,4.3381987
,4.3381987,4.3381987,4.3381987,4.3381987,4.0720797,4.0720797,4.0720797
,4.0720797,4.0720797,3.9124222,3.9124222,3.9124222,2.8420827,2.8420827
,2.8420827,4.399293,"
12:45:00,"3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0","3.594202,3.594202,3.594202,3.594202,3.594202,3.594202,3.594202
,3.594202,3.594202,3.594202,3.594202,3.594202,3.51101,,3.51101
,6.749957,6.749957,6.7957187,6.7957187,6.7957187,6.7957187,6.7957187
,6.7957187,6.9572864,7.510225,7.510225,7.510225,7.510225,7.510225
,7.510225,7.510225,"
13:00:00,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0","1.4261539,1.4261539,1.4261539,1.5305743,1.6618811,1.6618811,1.6618811
,1.8850241,1.8995986,1.8995986,1.8995986,1.8995986,1.8995986,1.8995986
,1.8995986,1.8995986,1.8995986,1.8995986,1.8945079,1.8945079,1.6934736
,1.6780238,1.6624014,1.6624014,1.7084649,1.7084649,1.7084649,1.7084649
,1.7084649,1.7084649"
13:15:00,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0","1.4765974,1.4765974,1.4765974,1.4765974,1.4765974,1.4765974,1.4765974
,1.4765974,1.4765974,1.5606638,1.5606638,1.5606638,1.5606638,1.5606638
,1.5606638,1.5606638,1.5606638,1.5606638,1.5606638,1.5606638,1.5606638
,1.6175531,1.6175531,1.6175531,1.6175531,1.6175531,1.7145506,1.7145506
,1.7145506,1.7145506"
13:30:00,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0","1.7335135,1.7335135,1.7335135,1.7654287,1.7654287,1.7654287,1.7654287
,1.7654287,1.7654287,1.7654287,1.7654287,1.7654287,1.9066907,1.9310324
,1.9310324,1.9310324,1.9959128,1.9959128,1.9959128,2.06537,,2.06537
,2.0166392,2.0078297,2.0078297,2.0078297,2.0078297,2.0078297,2.0078297
,2.0078297,2.220522,"
13:45:00,"12.0, 12.0, 12.0, 12.0, 13.0, 13.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0","11.423904,11.423904,11.358514,11.358514,11.358514,11.343572,11.343572
,11.320218,11.320218,11.320218,11.320218,11.320218,11.320218,11.320218
,12.715119,12.715119,12.93587,12.93587,12.93587,12.93587,12.867727
,12.867727,12.867727,12.867727,12.867727,12.905,,12.826443,12.826443
,12.826443,12.826443"
14:00:00,"12.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0","13.136201,13.918738,13.918738,13.918738,13.918738,13.918738,13.918738
,14.219731,14.219731,14.219731,14.438342,14.870652,14.870652,15.15939
,15.15939,15.15939,15.15939,15.15939,15.238631,15.238631,15.238631
,15.238631,15.238631,15.238631,15.238631,15.24178,15.160707,15.160707
,15.160707,15.160707"
14:15:00,"9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0","11.65082,11.917801,11.917801,11.917801,11.917801,11.917801,11.917801
,11.917801,11.857635,11.857635,11.62395,11.62395,11.62395,11.62395
,11.62395,11.62395,11.094692,11.094692,11.094692,11.094692,11.094692
,11.094692,11.094692,11.094692,11.312735,11.330253,11.330253,11.330253
,11.330253,11.330253"
14:30:00,"11.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0","10.973631,10.880696,10.880696,10.880696,10.880696,10.880696,10.880696
,10.880696,10.880696,10.801802,10.801802,10.801802,10.801802,10.801802
,10.801802,10.801802,10.922154,10.926948,10.930108,10.930108,10.930108
,10.930108,10.930108,10.930108,10.930108,10.930108,10.930108,10.930108
,10.930108,10.517728"
14:45:00,"12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0","11.408628,11.408628,11.408628,11.408628,11.408628,11.408628,11.408628
,11.408628,11.408628,11.408628,11.408628,11.408628,11.408628,11.408628
,8.820542,8.820542,8.820542,8.820542,8.820542,8.820542,8.915263
,8.915263,8.915263,8.915263,8.915263,8.915263,8.915263,8.915263
,8.915263,8.915263"
15:00:00,"15.0, 16.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0","11.502982,11.502982,11.502982,11.502982,11.502982,11.502982,11.502982
,11.502982,11.42495,11.42495,11.42495,10.744722,10.744722,10.603587
,10.603587,10.603587,10.603587,10.603587,10.603587,10.603587,10.603587
,10.603587,11.057701,11.057701,9.677826,9.677826,9.677826,9.677826
,9.677826,9.677826"
15:15:00,"15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0","14.417265,14.353429,14.353429,14.353429,14.353429,14.353429,14.307671
,14.307671,14.307671,14.307671,14.307671,14.307671,14.307671,14.307671
,14.307671,14.307671,14.307671,14.307671,14.307671,14.307671,14.307671
,14.307671,14.307671,14.307671,14.307671,14.307671,14.307671,14.307671
,14.307671,14.307671"
15:30:00,"15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0","14.932865,14.9237995,14.9237995,14.9237995,14.9237995,14.9237995
,14.9237995,14.9237995,14.9237995,14.9237995,14.9237995,14.9237995
,14.9237995,14.9237995,14.9237995,14.9237995,14.9237995,14.9237995
,14.844873,14.844873,14.844873,14.844873,14.844873,14.802879
,14.765842,14.765842,14.765842,14.765842,14.765842,14.87557,"
